crime_cat,crime_cat_eng,convicted,pardoned
Recursos naturales y medio ambiente,Natural resources and environment,235,15
Cometidos por funcionarios contra libertad individual,Crimes committed by public officials against individual freedoms,51,3
Prevaricación de los funcionarios públicos,Perversion of justice,171,6
De la malversación,Embezzlement,267,7
Descubrimientos y revelación de secretos,Discoveries and revelations of secrets,460,7
Contra la Comunidad Internacional,Against the international community,76,1
Contra la salud pública,Against public health,62013,646
Delitos societarios,Societal crimes,226,2
Detenciones ilegales y secuestro,Illegal Detentions and kidnappings,2060,18
Propiedad intelectual e industrial,Against intellectual property,7059,59
